event_date,event_location,fighter_1,fighter_2,result,method_main,method_detail,round,time,fighter_1_kd,fighter_1_str,fighter_1_td,fighter_1_sub,fighter_2_kd,fighter_2_str,fighter_2_td,fighter_2_sub,weight_class,fighter_1_record,fighter_1_height,fighter_1_weight,fighter_1_reach,fighter_1_stance,fighter_1_dob,fighter_1_slpm,fighter_1_str_acc,fighter_1_sapm,fighter_1_str_def,fighter_1_td_avg,fighter_1_td_acc,fighter_1_td_def,fighter_1_sub_avg,fighter_2_record,fighter_2_height,fighter_2_weight,fighter_2_reach,fighter_2_stance,fighter_2_dob,fighter_2_slpm,fighter_2_str_acc,fighter_2_sapm,fighter_2_str_def,fighter_2_td_avg,fighter_2_td_acc,fighter_2_td_def,fighter_2_sub_avg,fighter_1_born,fighter_1_gym,fighter_2_born,fighter_2_gym,fighter_1_ufcwins,fighter_1_ufcloss,fighter_2_ufcwins,fighter_2_ufcloss,fighter_1_active,fighter_2_active,fighter_1_wins,fighter_2_wins,fighter_1_age_at_fight,fighter_1_age_gap,fighter_1_current_age,fighter_1_draws,fighter_1_ig,fighter_1_losses,fighter_1_open_odds,fighter_1_reachheightadv,fighter_2_age_at_fight,fighter_2_current_age,fighter_2_draws,fighter_2_ig,fighter_2_losses,fighter_2_open_odds
6-Sep-25,"Paris, Ile-de-France, France",Nassourdine Imavov,Caio Borralho,,,,,,0,0,View,0,0,0,Matchup,0,Middleweight,'16-4-0 (1 NC),"6' 3""",185 lbs.,"75""",Orthodox,1-Mar-95,4.45,55%,3.26,58%,0.85,32%,78%,1.1,'17-1-0 (1 NC),"6' 1""",185 lbs.,"75""",Southpaw,16-Jan-93,3.61,60%,2.34,62%,1.56,60%,76%,0.5,Russia,#N/A,Brazil,Fighting Nerds,8,2,7,0,TRUE,TRUE,,,,,,,,,,,,,,,,
6-Sep-25,"Paris, Ile-de-France, France",Benoit Saint Denis,Mauricio Ruffy,,,,,,0,0,View Matchup,0,0,0,View Matchup,0,Lightweight,'14-3-0 (1 NC),"5' 11""",155 lbs.,"73""",Southpaw,18-Dec-95,5.39,55%,4.61,41%,4.19,39%,70%,1.5,'12-1-0,"5' 11""",155 lbs.,"75""",Orthodox,17-Jun-96,4.54,58%,4.59,61%,0,0%,100%,0,France,CYFIT,Brazil,Fighting Nerds,6,3,3,0,TRUE,TRUE,,,,,,,,,,,,,,,,
6-Sep-25,"Paris, Ile-de-France, France",Bolaji Oki,Mason Jones,,,,,,0,0,View Matchup,0,0,0,View Matchup,0,Lightweight,'10-2-0,"5' 10""",155 lbs.,"73""",Orthodox,15-Nov-95,7.05,45%,4.76,62%,1.24,75%,85%,0,'16-2-0 (1 NC),"5' 10""",155 lbs.,"74""",Orthodox,26-Apr-95,5.56,41%,4.46,48%,4.24,52%,80%,0,Belgium,Valon Team,Wales,Pedro Bessa BJJ,2,1,2,2,TRUE,TRUE,,,,,,,,,,,,,,,,
6-Sep-25,"Paris, Ile-de-France, France",Modestas Bukauskas,Paul Craig,,,,,,0,0,View Matchup,0,0,0,View Matchup,0,Light Heavyweight,'18-6-0,"6' 3""",205 lbs.,"78""",Switch,10-Feb-94,3.26,42%,4.07,51%,0.31,66%,77%,0.2,'17-9-1 (1 NC),"6' 3""",205 lbs.,"76""",Orthodox,27-Nov-87,2.54,45%,3,43%,1.47,19%,35%,1.4,Lithuania,Gintas Combat,Scotland,Higher Level Martial Arts,6,4,10,9,TRUE,TRUE,,,,,,,,,,,,,,,,
6-Sep-25,"Paris, Ile-de-France, France",Fares Ziam,Kaue Fernandes,,,,,,0,0,View Matchup,0,0,0,View Matchup,0,Lightweight,'17-4-0,"6' 1""",155 lbs.,"75""",Orthodox,21-Mar-97,2.85,51%,1.62,64%,1.62,40%,70%,0.2,'10-2-0,"5' 9""",155 lbs.,"73""",Orthodox,17-Mar-95,4,54%,1.32,61%,1.3,100%,76%,0,France,#N/A,Brazil,Nova UniÃ£o,7,2,2,1,TRUE,TRUE,,,,,,,,,,,,,,,,
6-Sep-25,"Paris, Ile-de-France, France",Oumar Sy,Brendson Ribeiro,,,,,,0,0,View Matchup,0,0,0,View Matchup,0,Light Heavyweight,'11-1-0,"6' 4""",205 lbs.,"83""",Orthodox,21-Nov-95,3.68,50%,1.81,70%,2.22,33%,100%,0.4,'17-8-0 (1 NC),"6' 3""",205 lbs.,"81""",Orthodox,8-Sep-96,3.26,42%,4.04,52%,0.99,42%,0%,0.7,France,Bulgarian Top Team,Brazil,Brazilian TKO,2,1,2,3,TRUE,TRUE,,,,,,,,,,,,,,,,
6-Sep-25,"Paris, Ile-de-France, France",Marcin Tybura,Ante Delija,,,,,,0,0,View Matchup,0,0,0,View Matchup,0,Heavyweight,'27-9-0,"6' 3""",249 lbs.,"78""",Orthodox,9-Nov-85,3.6,48%,3.31,55%,1.39,33%,75%,0.1,'17-3-0,"6' 4""",245 lbs.,--,Orthodox,7-Aug-90,0,0%,0,0%,0,0%,0%,0,Poland,Ankos MMA,,,14,8,0,0,TRUE,TRUE,,,,,,,,,,,,,,,,
6-Sep-25,"Paris, Ile-de-France, France",Andreas Gustafsson,Rinat Fakhretdinov,,,,,,0,0,View Matchup,0,0,0,View Matchup,0,Welterweight,'12-2-0,"6' 1""",170 lbs.,"73""",Orthodox,20-Feb-91,5.83,76%,2.79,45%,6.43,58%,100%,0,'23-1-1,"6' 0""",170 lbs.,"74""",Orthodox,28-Sep-91,4.78,52%,3.58,53%,3.95,34%,91%,0.2,Sweden,VÃ¤sterÃ¥s Fight Club,Russia,#N/A,1,0,5,0,TRUE,TRUE,,,,,,,,,,,,,,,,
6-Sep-25,"Paris, Ile-de-France, France",William Gomis,Robert Ruchala,,,,,,0,0,View Matchup,0,0,0,View Matchup,0,Featherweight,'14-3-0,"6' 0""",145 lbs.,"73""",Southpaw,13-Jun-97,3.53,51%,2.86,60%,0.62,27%,73%,0.4,'11-1-0,--,145 lbs.,--,,15-May-98,0,0%,0,0%,0,0%,0%,0,France,MMA Factory,,,4,1,0,0,TRUE,TRUE,,,,,,,,,,,,,,,,
6-Sep-25,"Paris, Ile-de-France, France",Sam Patterson,Trey Waters,,,,,,0,0,View Matchup,0,0,0,View Matchup,0,Welterweight,'13-2-1,"6' 3""",170 lbs.,"78""",Orthodox,30-Apr-96,3.17,41%,3.6,48%,1.61,100%,33%,3.2,'9-1-0,"6' 5""",170 lbs.,"77""",Orthodox,21-Feb-95,6.43,44%,5.61,56%,0.44,33%,85%,0.9,England,Team Crossface,United States,Ludus MMA,3,1,2,0,TRUE,TRUE,,,,,,,,,,,,,,,,
